news_id,city,media,original_url,report_date,title,content,conflict_type,solution,departments,note
GZ_news_011,广州,广州政法,https://www.gzszfw.gov.cn/shzl/content/post_69517,2026-04-27,“小网格” 有 “大温暖”！番禺石楼网格员联合辅警帮助走失老人安全返家,4 月 21 日，番禺石楼镇赤岗村一名 93 岁高龄老人外出散步走失，路人报警后辅警将老人送至赤岗工作站；老人方言浓重、不认字无法自述住址，网格员依托来穗系统、纸质户籍档案初步锁定身份，又通过基层数字化治理 “粤居码” 系统调取老人儿子备用联系方式，顺利联系家属，走失老人平安归家；石楼镇后续将常态化开展网格巡查，依托数字化平台处置群众急难问题,社区平安 + 养老便民治理,1. 路人报警，辅警先行安置走失老人；2. 网格员依托村级档案、来穗系统、粤居码数字化平台分层核查身份、调取家属联络信息；3. 对接家属护送老人回家；4. 属地网格部门完善长效巡查帮扶机制,番禺区石楼镇赤岗村网格工作站、辖区辅警、石楼镇平安法治办,依托基层网格化 + 数字化治理平台化解高龄老人走失难题，是社区养老平安帮扶典型案例；无利益纠纷，但属于基层便民治理落地事项
GZ_news_012,广州,广州政法,https://www.gzszfw.gov.cn/shzl/content/post_69462,2026-04-09,废旧煤气罐太危险！穗东街 “网格吹哨 + 部门报到” 火速排雷,黄埔区穗东街网格员日常巡查时，发现辖区废品回收站违规存放 11 只报废煤气罐，其中 3 只阀门破损、罐内残气外泄，存在重大消防安全隐患；回收站经营老人误认为废罐可当废铁售卖，抗拒清运并索要经济补偿。经网格员以案普法劝导、协调房东减免部分房租安抚经营者，最终老人同意配合处置，涉险煤气罐全部由专用车辆安全转运。后续街道督促房东签订出租屋安全承诺书、开展周边消防科普，同时全域排查废品站点、完善网格隐患常态化巡查机制,出租屋废品站点违规存危险品引发消防安全 + 经济补偿纠纷,1. 网格员巡查发现隐患，启动 “网格吹哨 + 部门报到” 机制，街道综合执法、社区民警联合到场处置；2. 工作人员用事故案例普法劝导经营者，联动房东减免房租化解补偿矛盾；3. 危险品专车转运消除现场险情；4. 事后签订安全责任书、片区消防宣传、全街废品站专项排查、建立网格长效隐患排查制度,黄埔区穗东街道综合行政执法办、社区民警、街道网格工作站,典型网格联动处置消防安全矛盾案例，兼顾安全整治与困难从业者民生帮扶，落地长效社区安全管控措施
GZ_news_013,广州,广州政法,https://www.gzszfw.gov.cn/shzl/content/post_69371,2026-04-03,离婚纠纷陷僵局，南华西街综治中心巧解显温情,海珠区南华西街道一夫妻纠缠 3 年离婚纠纷，矛盾焦点集中在夫妻共同财产分割、家中四级智力残疾子女照料、女方离异后生活安置三大事项；街道依托网格摸排捕捉纠纷线索，启动 “中心吹哨、部门报到” 联动机制，联合街道平安办、司法所、社区律师、居委会组建专项调解组，采取背对背疏导 + 面对面协商模式，结合法律释明与民生帮扶，最终双方达成协议：男方一次性支付女方财产折价 + 租房补助合计 10.9 万元，纠纷圆满化解,社区家事调解 + 特殊群体权益治理,1. 网格员日常摸排发现陈年家事纠纷，移交街道综治中心；2. 多部门联动组建调解专班，律师提供财产分割法律指导；3. 柔性调解兼顾法理与民生，测算男方支付能力、为女方争取过渡租房补助；4. 促成双方签署和解协议，一次性结清款项，化解 3 年僵持矛盾,海珠区南华西街综治中心、街道平安办、司法所、社区律师、属地居委会,典型社区家事矛盾多元联动调解案例，兼顾婚姻财产纠纷处置与残障儿童、困难妇女权益保障
GZ_news_014,广州,广州政法,https://www.gzszfw.gov.cn/shzl/content/post_69334,2026-03-30,网格联动 + 执法发力，广州街坊火速出手整改私拆违建行为,荔湾区南源街道西焦社区居民投诉，楼栋内业主装修私自敲毁房屋承重柱、在公共区域搭建简易棚屋，破坏楼栋主体结构、侵占公共空间，引发全楼邻里不满与居住安全隐患；社区网格员联合街道执法队现场核查，执法人员普法责令停工限期整改，社区工作人员逐户上门安抚、科普安全常识，化解其余住户对整改施工扰民的顾虑；涉事业主自行修复承重柱、拆除全部违建棚屋。后续社区 + 执法部门加密日常巡查，建立违建长效监管机制,业主私拆承重 + 公共区域违建引发邻里安全、公共空间纠纷,1. 居民投诉上报，网格员联动街道执法到场勘验；2. 执法普法，责令违建业主停工、限期修复结构 + 拆除违建；3. 社区入户沟通其余居民，消除整改噪音、生活受影响的顾虑；4. 当事人自行完成整改，恢复公共空间；5. 健全网格 + 执法常态化巡查管控机制。,荔湾区南源街道西焦社区（网格员 / 社区工作人员）、街道综合行政执法队,典型小区违建 + 房屋结构安全邻里矛盾，依托网格 + 执法联动闭环处置，同步完善长效巡查治理
GZ_news_015,广州,广州政法,https://www.gzszfw.gov.cn/shzl/content/post_69300,2026-03-25,租房押金要不回？“和事佬” 广州街坊来解围,租客小付预交租房押金后因个人变故无法履约退租，房东周某以租客单方面违约为由拒不退还押金，双方产生租房经济纠纷；小付前往明经村网格工作站求助，网格员梁颖珊先安抚租客诉求，电话对接房东，结合民法典相关法条释法明理，引导房东换位思考，最终房东自愿全额退还租客押金，纠纷圆满化解。网格员依托深耕基层 16 年的经验，践行小事不出网格的基层治理机制。,房屋租赁押金经济纠纷,1. 租客到村级网格站点求助；2. 网格员分别对接双方，普法 + 情理劝导；3. 促成房东全额退还押金，当场化解矛盾；4. 依托网格常态化调解机制，就地处置民间租赁纠纷,从化区化龙镇明经村网格工作站,典型社区房屋租赁押金邻里经济纠纷，依靠基层网格员就地调解，是 “小事不出网格” 社区治理落地案例。
GZ_news_016,广州,广州政法,https://www.gzszfw.gov.cn/shzl/content/post_69250,2026-03-18,从忧 “酬” 到欢 “薪”，这次追薪行动很硬核！,越秀区六榕街道辖区老牌饭店因经营不善、资金链断裂突然停业，数十名员工被拖欠薪资，多次和经营者协商无果，产生劳资欠薪纠纷。六榕街综治中心启动应急处置机制，牵头联动劳监、司法、公安多部门成立专项工作组，先疏导员工负面情绪、普法稳控局面；再多举措约谈饭店股东与实际控制人，盘活企业剩余资产筹措资金，仅用时 22 天促成 145 万元欠薪全额兑付。依托街道一站式矛盾调处闭环机制，就地化解劳资矛盾。,企业停业欠薪引发劳资经济纠纷（社区劳资民生类治理）,1. 员工反映欠薪诉求，街道综治中心牵头多部门组建专班；2. 专人一对一疏导员工情绪、开展普法宣传；3. 劳监固定欠薪证据、司法提供法律援助、公安约谈经营者防范转移资产；4. 多方协调盘活企业资产，督促老板筹措资金，全额结清 145 万拖欠工资；5. 依托闭环调处机制完善同类风险前置预警。,越秀区六榕街综治中心、街道劳监部门、司法所、辖区公安,典型辖区商户欠薪劳资纠纷，多部门联动一站式化解大额欠薪，是基层矛盾就地化解示范案例。
GZ_news_017,广州,广州政法,https://www.gzszfw.gov.cn/shzl/content/post_69202,2026-03-12,一块屏，15 分钟解纷争,荔湾区站前街道时尚商圈聚集大量商贸经营主体，货款、加工类商事纠纷频发；街道设立商圈调解工作站与全市首个行业 “共享法庭”。鸿某公司与大某公司因 9 万元加工费产生商事纠纷、协商僵持，依托 “法院 + 综治中心 + 共享法庭” 三方联动机制，线下人民调解员现场协调、法官远程视频法律指导，双方达成和解；当事人线上提交司法确认，法官远程 15 分钟出具裁定书，调解协议具备强制执行力，实现商圈商事纠纷就地高效化解。,商圈企业加工费商事经济纠纷（商圈营商类社区治理）,1. 商事双方加工款协商破裂产生纠纷，诉前委派至街道综治调解站；2. 现场人民调解员主持协商，远程法官线上提供法律释明；3. 双方达成调解协议，线上 APP 提交司法确认；4. 法官远程在线出具法律文书，15 分钟完成司法确认，形成「调解 — 确认 — 执行」闭环。,荔湾区站前街道综治中心（商圈调解工作站）、荔湾区人民法院,创新 “共享法庭 + 基层调解” 数字化治理模式，高效化解商圈商事矛盾，实现小事不出商圈，优化辖区营商环境。
GZ_news_018,广州,广州政法,https://www.gzszfw.gov.cn/shzl/content/post_69196,2026-03-10,出租屋保险绝非 “一纸空文”！一市民以 57 元保费换来 3000 元理赔款,白云区太和镇和龙村村民胡某在出租屋意外受伤住院，此前购置出租屋保险却遗忘理赔，求助网格员后，网格员协助整理材料、对接保险公司，一周内帮其成功申领 3000 元理赔；案例扭转村民对出租屋保险抵触心态，参保从被动动员变为群众主动咨询投保，村民送锦旗致谢网格员。,出租屋民生保障,网格员上门协助收集理赔材料、对接保险公司全程代办理赔；依托出租屋集体保险落地普及保险知识，转变群众参保观念,广州市白云区太和镇人民政府、和龙村村委（基层网格员）,典型网格服务助力出租屋民生治理案例，已妥善办结
GZ_news_019,广州,广州政法,https://www.gzszfw.gov.cn/shzl/content/post_69178,2026-03-09,二十万培训费引纠纷，暖心调解终促和解,市民李先生向传媒公司缴纳 20 万余元培训费后，认为课程溢价、服务与收费不匹配，要求退费，企业以事前约定为由拒退款，双方产生消费合同纠纷；黄埔区综治中心调解员多次联络企业沟通，组织现场协商，最终促成和解，企业扣除合理费用后退付 15 万余元，纠纷办结，当事人专程送锦旗致谢。,教育培训消费合同纠纷,综治调解员多方联络约谈、居中现场调解，平衡消费者与企业权益达成退费和解协议,广州市黄埔区综治中心,践行枫桥经验的社区消费纠纷调解典型案例，矛盾已妥善解决
GZ_news_020,广州,广州政法,https://www.gzszfw.gov.cn/shzl/content/post_69169,2026-03-06,村民煮鸡食引燃柴草？网格员 + 最小应急单元高效联动化险为夷,白云区钟落潭镇马洞村村民煮鸡不慎引燃柴草引发火情，村民求助网格员冯惠英；网格员安抚群众、核实火情后启动 “网格吹哨、单元响应” 机制，联动村治安联防最小应急单元到场处置，队员分工隔断可燃物、喷射灭火剂，全程 20 分钟扑灭火情，无人员伤亡、避免火势蔓延；案例依托网格员前置排查、应急队伍常态化练兵、跨主体联动三项基层治理机制落地,村居消防安全隐患突发险情处置,依托网格吹哨应急响应机制，网格员上报 + 最小应急单元现场梯次灭火处置，事后常态化安全隐患排查,广州市白云区钟落潭镇人民政府、马洞村村委、村级治安联防最小应急单元,
GZ_news_021,广州,广州政法,https://www.gzszfw.gov.cn/shzl/content/post_69147,2026-03-03,楼下 “下雨” 楼上 “观望”？鹤龙司法所出手速解邻里纠纷！,白云区鹤龙街住户陈某家中因楼上李某家水管漏水，全屋天花板渗水、墙面受损，楼上业主多次推诿拖延维修，邻里矛盾激化；陈某求助鹤龙司法所，司法所联动社区居委会、网格员，结合民法典相邻权法规释法明理、情理劝导，经一周沟通，李某承诺维修漏水管道并一次性赔付 1000 元损失，邻里纠纷妥善化解,房屋漏水引发邻里相邻权纠纷,司法所联合居委会、网格员普法 + 情理劝导，促成楼上业主修缮管道、赔付经济损失，签订和解约定,广州市白云区鹤龙街道办、鹤龙司法所、辖区社区居委会、片区网格员,社区邻里漏水纠纷人民调解案例，矛盾已办结
GZ_news_022,广州,广州政法,https://www.gzszfw.gov.cn/shzl/content/post_69138,2026-03-02,退租遇阻不用愁，广州街坊助力解民忧,白云区黄石街广外大社区租客李先生依规提前申请退租，出租人无故拒退且要求续缴租金，双方就房屋自然损耗复原问题产生租赁纠纷；三名广州街坊先后联动社区居委会、黄石派出所，运用分离调解法分拆劝导双方，最终达成和解：出租人同意退租，李先生将房屋修整至合理状态后交还。,房屋租赁退租合同纠纷,街坊联合居委会、派出所，采用分离调解法情理 + 普法疏导，促成双方签订退租和解协议,广州市白云区黄石街道广外大社区居委会、黄石派出所、社区街坊调解员,基层多元联动化解租房纠纷典型社区治理案例，矛盾已办结
GZ_news_023,广州,广州政法,https://www.gzszfw.gov.cn/shzl/content/post_69121,2026-02-27,父亲服刑母亲拒养…… 鹤龙街多方联动救助流浪少年找到 “新” 家,白云区鹤龙街一名 15 岁少年因父亲服刑、母亲不愿履行抚养义务，被清退住房后长期流浪；鹤边民警联动网格员、居委会，跨区域对接番禺公检法、民政、社工站等部门，先行提供生活物资临时帮扶，多方寻访联络亲属，最终联系上孩子姐姐并促成其收留，工作人员护送少年前往花都落户安置，困境未成年人救助闭环办结。,未成年人监护缺失困境救助纠纷（法定监护人拒履行抚养义务致孩童流浪）,街道联合公安、社区、民政、司法跨区域协同，临时兜底帮扶 + 多方寻访亲属，协调适龄亲属承接监护完成安置,广州市白云区鹤龙街道办、鹤边派出所、员村社区居委会、片区网格员、番禺区公安 / 检察院 / 法院、街道社工站、民政部门,跨区域多部门联动的未成年人权益保护典型社区治理案例，救助安置全流程办结
GZ_news_024,广州,广州政法,https://www.gzszfw.gov.cn/shzl/content/post_69107,2026-02-26,多方合力救援！港湾街道最小应急单元联动热心群众上演生死接力,南沙区港湾街道一名女子因家庭琐事情绪崩溃，怀抱女婴走入江中轻生；路过市民率先下水施救，热心路人、堤岸保安接力支援，街道最小应急单元快速到场处置，30 分钟内成功救起母女，现场安抚疏导情绪，后续母女送医检查；依托辖区 183 个最小应急单元 + 群防群治队伍实现高效应急联动,居民家庭矛盾引发轻生突发险情处置,热心群众先行施救 + 最小应急单元、物业保安联动救援，现场心理疏导、警医衔接送医，依托基层群防体系完善日常安全防控,广州市南沙区港湾街道办、港湾派出所、辖区物业、社区最小应急单元,最小应急单元 + 群众群防联动处置轻生险情的基层平安治理典型案例，险情处置完毕
GZ_news_025,广州,广州政法,https://www.gzszfw.gov.cn/shzl/content/post_69091,2026-02-24,诈骗危机下，广州街坊亮起一盏灯,越秀区一名居民遭遇电信诈骗损失数百万元，受巨额财产损失打击陷入精神崩溃并萌生轻生想法；广州街坊服务队紧急启动应急机制，心理专业人员上门开展心理危机干预，帮当事人走出心理阴霾；后续联动越秀公安反诈民警面向社区综治、楼栋长等基层骨干开设反诈专题讲座，结合杀猪盘案例讲解骗术特征与防范方法，落地社区常态化反诈宣传,电信诈骗受害引发居民心理危机,街坊心理服务队上门心理疏导化解轻生隐患；联动公安开展基层骨干反诈培训，落地社区普及宣传、前置防范同类受骗风险,广州市越秀区公安分局反诈中心、“广州街坊・越秀邻里” 社区服务队、街道综治、楼栋长及出租屋管理员,社区联动公安处置诈骗受害心理危机 + 源头反诈宣教的基层治理案例，当事人心理危机化解、后续防范措施落地
GZ_news_026,广州,广州政法,https://www.gzszfw.gov.cn/shzl/content/post_69065,2026-02-10,巧断 “海鲜案”，解纷促和谐！网格驿站里的一场 “破冰” 调解,白云区黄石街马务社区居民徐女士网购海鲜包裹破损变质，向快递驿站工作人员索赔，驿站方认为破损责任在物流方，双方争执产生消费赔偿纠纷；网格员曾伟波巡查发现后，先安抚双方情绪，采用背对背分调方式厘清各环节权责，劝导消费者走官方理赔、驿站配合举证，最终矛盾顺利化解,快递生鲜破损引发消费赔偿纠纷,网格员现场分步骤背对背调解，划分物流、驿站责任，促成驿站配合用户向快递公司正式索赔,广州市白云区黄石街道马务社区、社区网格员,网格员就地化解快递消费纠纷的基层网格治理典型案例，矛盾已办结
GZ_news_027,广州,广州政法,https://www.gzszfw.gov.cn/shzl/content/post_69000,2026-02-02,紧急救援护平安！广州街坊救助晕厥乘客,广州公交集团增 36 路车长陈满堂在执行福和至新塘站营运任务时，遇女乘客突发头晕晕厥、不省人事；陈车长立即将车辆安全停靠，对乘客进行手脚按摩等应急护理缓解症状，在征得车上乘客理解支持后，果断调整营运路线，数分钟内驾驶公交车直达最近的广东省水电医院，全程陪同将乘客送至急诊室，确认乘客得到妥善救治后，才悄然返回车辆继续执行营运任务。,公共交通场景下乘客突发身体不适的应急救助事件,公交司机按应急处置规范，先开展现场应急护理，再调整营运路线紧急送医，全程陪同对接医院完成救助闭环,广州公交集团巴士公司、广东省水电医院,广州街坊（公交司机）应急处置乘客突发健康险情的暖心服务案例，救助全流程闭环完成
GZ_news_028,广州,广州政法,https://www.gzszfw.gov.cn/shzl/content/post_68982,2026-01-28,九小时爱心接力，广州街坊守护棠下学子平安归家,天河区棠下街棠德南社区一名小学生放学后失联，家长与学校搜寻 4 小时无果后报警；社区街坊、辖区派出所、小区物业联动，依托社区群发布寻人启事，组织党员、退役军人、热心居民分片地毯式排查楼栋、天台，历经 9 小时接力搜寻，孩子平安找回,未成年人走失应急搜救处置,公安、社区、物业、热心群众多方联动，线上扩散寻人线索、线下全域分片排查，成功寻回走失孩童,天河区棠下街道棠德南社区、辖区派出所、小区物业、社区党员及热心街坊,群防群治处置儿童走失的基层治理典型案例，人员平安、事项办结
GZ_news_029,广州,广州政法,https://www.gzszfw.gov.cn/shzl/content/post_68976,2026-01-27,头顶有险情？广州街坊发现摇摇欲坠的脱轨雨棚……,番禺区沙头街大平村商铺雨棚铁皮松动翘起，地处人流密集步行街存在高空坠物隐患；街坊巡查发现后立即现场围挡分流行人，商户与房东相互推诿整改责任，工作人员依托出租屋登记系统耗时 3 天联系异地房东，结合民法典相关法规普法劝导，最终房东同意拆除隐患雨棚，6 天后隐患全部整改完毕。,商铺雨棚高空安全隐患整改权责纠纷,街坊先行临时警戒避险，普法厘清房东、商户法定责任，多方沟通促成产权方出资拆除隐患构筑物，现场验收闭环,广州市番禺区沙头街大平村、广州街坊服务队,基层排查化解高空安全隐患、厘清权责整改的社区治理典型案例，安全隐患清零办结
GZ_news_030,广州,广州政法,https://www.gzszfw.gov.cn/shzl/content/post_68980,2026-01-28,亲人失联 6 年，太和镇 “警网楼” 三方联动助团圆！,白云区太和镇市民张小姐求助，其弟弟因家庭矛盾离家失联六年，家人多方寻访无果；太和派出所核查锁定住址但电话无法接通，依托本地 “警网楼” 机制，民警、网格员、楼栋长三方联动核实地址、上门寻人，最终姐弟团聚。,人员长期失联寻人求助纠纷,公安、网格员、楼栋长三方协同核查住址、实地走访，依托基层网格化治理实现失联人员寻回团聚,白云区太和派出所、太和镇营溪村村委会、社区网格员,“警网楼” 基层联动模式化解失联寻亲难题典型案例，寻亲事项办结闭环
