case_id,city,source_url,publish_date,title,content,department,process,result,conflict_type
GZ_012,广州,http://www.gz.gov.cn/,2026-05-20,反映公共设施问题,广东省广州市白云区嘉禾街道新科杨苑街12巷4号下水道堵塞，希望相关部门通下水道。,广州市白云区人民政府-嘉禾街,接市民诉求后，联同排水公司到现场核查处理，开展管道清疏工作，管网已疏通，恢复正常运行。,已解决,环境卫生问题
GZ_013,广州,http://www.gz.gov.cn/,2026-05-19,反映施工问题,广东省广州市增城区新塘镇广东省广州市增城区新塘107国道广深大道122号占道施工，希望相关部门加强管理,广州市增城区人民政府-新塘镇,接投诉后，我队执法人员于2026年5月20日到达现场，责令加强管理,已解决,噪声扰民问题
GZ_014,广州,http://www.gz.gov.cn/,2026-05-18,反映公共设施问题,番禺区大石街大山村大成坊西街电房，电房藏线井封边凸起，对过路行人造成安全隐患，希望有关部门前来维修,广东电网有限责任公司广州供电局,经查，上址井盖边框松动的问题我局已在05月20日急修处理完成。,已解决,公共设施问题
GZ_015,广州,http://www.gz.gov.cn/,2026-05-18,反映游商问题,广东省广州市金泽豪庭小区大林路晚上乱摆摊堵塞道路通行，希望相关部门协调城管处理,广州市增城区人民政府-新塘镇,我队执法人员于2026年5月18日到达现场，巡查发现您反映的游商问题，立即教育和责令摊贩撤离不能再在此片区域乱摆卖影响群众、交通和市容市貌。,已解决,环境卫生问题
GZ_016,广州,http://www.gz.gov.cn/,2026-05-18,反映噪声扰民问题,垃圾站作业时间不合理，早上6点两个收垃圾的开着垃圾车来收干扰休息,广州市海珠区人民政府-滨江街,由于反映当天垃圾量特别大，为防止满溢，我们在早上临时增加了一车次，由此产生的噪音确实给大家带来了不便，敬请谅解！针对此事，环监所已对环卫工人进行了严肃提醒，明确要求后续作业时必须使用海绵垫缓冲，“轻拿轻放”，坚决杜绝粗暴作业。我们会持续盯紧这个点位，努力减少对大家的影响。,已解决,噪声扰民问题
GZ_017,广州,http://www.gz.gov.cn/,2026-05-17,反映乱摆卖、垃圾清理等街面问题,广东省广州市天河区天河南街道(林和西-B口)，烧烤摊乱摆卖，希望相关部门清理违法摆卖并定期巡查，保护市民呼吸清新空气的权利,广州市天河区人民政府-天河南街,天河南街道办事处已组织居委会网格员与综合行政执法队伍赴现场开展专项整治行动，依法纠正流动摊贩占道经营、乱摆乱卖等违法违规行为，责令当事人立即停止违规经营活动，并在全面清理现场环境卫生后有序撤离。,已解决,环境卫生问题
GZ_018,广州,http://www.gz.gov.cn/,2026-05-17,反映车辆乱停放问题,广东省广州市天河区天河南街道整条天河南二路，公路与市政道路，机动车乱停放影响通行,广州市公安局,天河大队已安排辖区中队加强该路段的巡逻管理整治，查处违法车辆，管控道路通行秩序，并加强对车辆违法行为的执法。,已解决,公共设施问题
GZ_019,广州,http://www.gz.gov.cn/,2026-05-16,反映垃圾清理问题,广东省广州市番禺区沙湾街道滴水岩森林公园卫生环境差,广州市番禺区人民政府-沙湾街,我街城市管理和林业园林绿化办公室于5月19日安排保洁员对沿路垃圾桶的垃圾进行清理并带下山处理。,已解决,环境卫生问题
GZ_020,广州,http://www.gz.gov.cn/,2026-05-16,反映噪声问题,广东省广州市白云区石门街道湖滨南路半夜施工，扰民，希望相关部门22点后停止施工,广州市白云区人民政府-石门街,我街接到投诉后于5月16日下午14：30派员到现场对施工单位进行批评教育，并要求施工单位规范作业时间，降低施工噪声，最大限度减少对周边居民的影响，严禁夜间22时至次日6时施工。随后我街于5月16日晚上22：30再次派员到现场巡查，现场暂未发现有夜间超时施工情况。,已解决,噪声扰民问题
GZ_021,广州,http://www.gz.gov.cn/,2026-05-15,反映车辆乱停放问题,广东省广州市增城区派潭镇增城区派潭镇前进街非机动车乱停放影响通行,广州市增城区人民政府-派潭镇,我镇已加强巡查力度及对乱停放市民的劝导力度，同时对周边居民进行文明劝导，教育并引导市民将车辆有序停放，努力营造良好的道路通行环境。,已解决,公共设施问题
GZ_022,广州,http://www.gz.gov.cn/,2026-05-15,反映车辆乱停放问题,广东省广州市黄埔区联和街道(南云一路与南翔二路交叉口)机动车乱停放影响通行,广州市公安局,黄埔区公安分局交通管理大队针对市民反映的该路段机动车乱停放，按照勤务安排，加强日常交通管理，对黄埔区联和街道(南云一路与南翔二路交叉口)周边乱停行为加大管控，结合辖区违停专项整治工作，做好周边民众停车秩序教育，切实维护好区域停车秩序，保障道路交通环境不断好转。,已解决,公共设施问题
GZ_023,广州,http://www.gz.gov.cn/,2026-05-13,反映公共设施问题,广东省广州市黄埔区新龙镇(镇龙高车路)路灯不亮，希望相关部门尽快修好路灯，已经有一个星期不亮了,广州市黄埔区人民政府-新龙镇,,已解决,公共设施问题
GZ_024,广州,http://www.gz.gov.cn/,2026-05-29,反映乱摆卖、垃圾清理等街面问题,卫生环境差 卫生环境情况:垃圾满溢,广州市白云区人民政府-永平街,我街立即派员联合村经济社到现场了解情况，现场安排保洁单位对落地垃圾进行清理，并要求保洁公司后续要加强对该路段的日常巡查清理频次,已解决,环境卫生问题
GZ_025,广州,http://www.gz.gov.cn/,2026-01-22,反映养犬管理问题,有人在武广安置区遛狗不牵绳,广州市公安局,已对相关人员进行警告，督促其文明养犬遛狗牵绳，不要影响他人,已解决,环境卫生问题
GZ_026,广州,http://www.gz.gov.cn/,2026-05-25,反映游商问题,东晓南路与南泰路交界处经常出现以货车载物出售的小贩，有晚9点至11点摆摊，期间用大喇叭进行叫卖，噪音扰民,广州市海珠区人民政府-凤阳街,立即安排执法队员于2026年5月26日到场处置，现场对流动商贩进行严厉批评，立即驱赶劝离该处流动商贩；,已解决,噪声扰民问题
GZ_027,广州,http://www.gz.gov.cn/,2026-05-27,反映总体规划问题,在建项目是不是天坤三路延长线，是否能与科韵路相连,广州市天河区人民政府-区代建局,已于2026-05-28与您电话沟通。您反映的事项已核实，已依法处理。经核实，您反映的路段为天坤三路，正在开展新建道路工程，建成后与科韵路相接,已解决,公共设施问题
GZ_028,广州,http://www.gz.gov.cn/,2026-05-13,反映下水道溢水问题,下雨天，污水溢出。雨后，不清理积水，污水发黑发臭，已时隔多日。无人管理，时隔两热高峰期，污水蚊虫横飞，一边打药，一边养蚊虫。不知道哪个部门可以处理。请相关部门暗访小区物业，存在不作为问题,广州市海珠区人民政府-瑞宝街,社区已督促物业加强巡查和清洁力度，及时发现积水并清扫。,已解决,环境卫生问题
GZ_029,广州,http://www.gz.gov.cn/,2026-03-10,反映噪声、气味、污水等环境问题,一直有人在唱歌扰民,广州市天河区人民政府-元岗街,社区居委会工作人员到小公园现场跟相关人员进行沟通，要求相关人员减小噪音扰民行为,已解决,噪声扰民问题
GZ_030,广州,http://www.gz.gov.cn/,2026-04-13,反映乱摆卖、垃圾清理等街面问题,存在问题:乱摆卖,广州市越秀区人民政府-矿泉街,"矿泉街执法队到达现场对乱摆卖的情况进行处理,现场已整治完毕",已解决,环境卫生问题
GZ_031,广州,http://www.gz.gov.cn/,2026-03-25,反映路桥坑洼、破损问题,道路坑洼.道路破洞钢筋露出,广州市增城区人民政府-新塘镇,已安排维护单位对此进行处理，现已将破损位置修复完成,已解决,公共设施问题
GZ_032,广州,http://www.gz.gov.cn/,2026-05-25,反映树木绿化问题,原本用于隔离内部停车场的铁丝网近日被种上了全高的植被，导致本来视线通透的铁丝网被封死，过往路人以及机动车无法有效判断路况，有造成交通事故的风险,广州市荔湾区人民政府-茶滘街道办事处,该处绿植已做迁移撤除。,已解决,公共设施问题
GZ_033,广州,http://www.gz.gov.cn/,2026-03-31,反映路障设置问题,个人私自设置路障不让人停车（政府划的停车区）,广州市花都区人民政府-花山镇,我队工作人员到现场调查处理，经现场查看，投诉占用公共停车位的情况属实。我队工作人员对相关的店主进行相关法律法规教育，并要求马上整改,已解决,公共设施问题
GZ_034,广州,http://www.gz.gov.cn/,2026-02-18,反映水泥墩问题,万福路青云巷靠近天河城一侧路口斜坡坡度非常大，而因坡下水泥墩的阻挡导致留给轮椅和非机动车转弯位置却非常狭窄，容易因急坡导致刹车失灵直撞水泥墩，非常危险,广州市越秀区人民政府-北京街,北京街工作人员已到粤海仰忠汇现场查看，并将情况告知天河城物管方，现物管方已将石墩后移，路面已扩宽。,已解决,公共设施问题
GZ_035,广州,http://www.gz.gov.cn/,2026-04-07,反映噪声、气味、污水等环境问题,,广州市天河区人民政府-车陂街,已叮嘱环卫工人早班尽量使用小扫把清扫,已解决,噪声扰民问题
GZ_036,广州,http://www.gz.gov.cn/,2026-04-21,反映卫生问题,垃圾站异味，尽快清除异味,广州市增城区人民政府-小楼镇,立即组织相关职能部门对该位置垃圾间进行清洁，现该垃圾间的清洁工作已清理完毕,已解决,环境卫生问题
GZ_037,广州,http://www.gz.gov.cn/,2026-04-17,反映消防安全问题,黄埔区黄埔街道港湾路430号一楼出入口有电瓶车违规充电,广州市黄埔区人民政府-黄埔街道,已对违规充电电动车进行整改并对涉事人员进行宣传消防安全教育，后续将加强巡查监管,已解决,公共设施问题
GZ_038,广州,http://www.gz.gov.cn/,2026-03-06,反映店外经营问题,商家占用盲道经营，违反《无障碍环境建设法》第28条，相关部门请依据第65条责令商家改正、罚款。,广州市荔湾区人民政府-石围塘街道办事处,经我队派员赴现场核查，我队已督促该址商铺经营者收拾占道经营的物品，严格要求其经营者按照法律法规守法经营，避免影响道路通行,已解决,公共设施问题
GZ_039,广州,http://www.gz.gov.cn/,2026-03-27,反映施工问题,:没有围团施工，石头灰尘高处下落，严重影响行人安全和卫生问题,广州市番禺区人民政府-沙湾街,我街执法队到现场检查，发现上址正在进行室内装修，部分区域已围闭，但仍有部分窗户打开，不完全围闭，造成扬尘，我街执法队责令施工方关闭窗户，做好围闭，避免扬尘。,已解决,环境卫生问题
GZ_040,广州,http://www.gz.gov.cn/,2026-04-08,反映乱涂乱画乱刻问题,在景泰街道284路车总站和景泰直街2-4号隔壁的白墙，都涂上了公积金等非法提现的涂鸦,广州市白云区人民政府-景泰街,我所立即派人到场进行清理，已清理完毕，我们竭力做好督促和整改,已解决,环境卫生问题
GZ_041,广州,http://www.gz.gov.cn/,2026-04-09,反映交通治安设施问题,路中间的立标警示柱损坏 需要整改修复,广东省广州市白云区新市街棠乐路33号路口,市民反映的地址应是棠乐路尾，已及时修复警示柱,已解决,公共设施问题
GZ_042,广州,http://www.gz.gov.cn/,2026-04-04,反映路桥坑洼、破损问题,井盖不牢固,广东省广州市黄埔区永和街道黄埔区常春藤三期北面A4栋A5栋A6栋北向公共道路,已于1月13日修复完毕,已解决,公共设施问题
GZ_043,广州,http://www.gz.gov.cn/,2026-04-06,反映护栏问题,市民反映，此处原本是垃圾回收点，几天前才拆除。并没有安装护栏,广东省广州市越秀区水荫路和环市东路（天河路）交叉口 红绿灯位置,接到诉求人的反映后，经到现场查看，该址已设置护栏。,已解决,公共设施问题
GZ_044,广州,http://www.gz.gov.cn/,2026-02-18,反映水泥墩问题,万福路青云巷靠近天河城一侧路口斜坡坡度非常大，而因坡下水泥墩的阻挡导致留给轮椅和非机动车转弯位置却非常狭窄，容易因急坡导致刹车失灵直撞水泥墩，非常危险。,:广东省广州市万福路青云巷口斜坡,接市民诉求后，北京街工作人员已到粤海仰忠汇现场查看，并将情况告知天河城物管方，现物管方已将石墩后移，路面已扩宽,已解决,公共设施问题
GZ_045,广州,http://www.gz.gov.cn/,2026-02-20,反映垃圾满溢（垃圾设施满溢）问题,美宜佳门口的垃圾满溢，希望过年多整治一下,广东省广州市广州市增城区石滩镇碧桂园豪园上灯街美宜佳门口,接到投诉后，我镇城乡环卫组高度重视，迅速响应，第一时间组织清洁力量对现场垃圾进行全面清理，目前问题已整改到位,已解决,环境卫生问题
GZ_046,广州,http://www.gz.gov.cn/,2026-02-21,反映桥梁问题,明珠湾大桥二根桥墩中间横梁上有一根很长的铁皮（铁板）脱落，存在安全隐患，因桥下面是公园。,广东省广州市南沙区明珠湾大桥下面,反映事项已核查，目前已恢复,已解决,公共设施问题
GZ_047,广州,http://www.gz.gov.cn/,2026-02-25,反映噪声、气味、污水等环境问题,嘉华广场的商业餐馆以及嘉华广场晚上露天的商业表演，唱歌放音乐到半夜十二点，家里窗户都紧闭了，还是很吵能听到，比如此刻23：34分外面还在放稳稳的幸福的歌曲，听的如此清楚,广东省广州市花都区新雅街道迎宾大道187号嘉都汇,接工单后，我村已安排多名治安队员前往现场处置，对相关经营户进行宣传教育、现场劝导和严肃提醒，要求其严格控制经营及表演时间，严禁夜间超时、超分贝播放音乐、唱歌扰民，切实降低噪音对周边居民休息的影响,已解决,噪声扰民问题
GZ_048,广州,http://www.gz.gov.cn/,2026-02-25,反映垃圾满溢（垃圾设施满溢）问题,市民反映，垃圾满溢,广东省广州市广州市增城区石滩镇碧桂园豪园上灯街美宜佳门口,反映的垃圾满溢问题已收悉，感谢您对我镇环境卫生工作的关注与监督。接到投诉后，我镇城乡环卫组高度重视，迅速响应，第一时间组织清洁力量对现场垃圾进行全面清理，目前问题已整改到位,已解决,环境卫生问题
GZ_049,广州,http://www.gz.gov.cn/,2026-02-27,反映店外经营问题,市民反映，该地全是店外经营，堵住路了,广东省广州市广州市增城区石滩镇碧桂园豪园上灯街多一份门口,"接件后，石滩镇综合执法办到现场查看处理，现场发现店外经营情况，针对涉事店铺存在店外经营的行为，执法人员已对当事人进行相关法律教育，要求当事人对店外经营问题作出整改,，现场已整改完毕",已解决,公共设施问题
GZ_050,广州,http://www.gz.gov.cn/,2026-03-01,反映路桥坑洼、破损问题,盲道被涂鸦、打广告。发现一处在广州市花都区曙光路与光凤路交叉口人行盲道，另一处在曙光路与迎宾路交叉口的斑马线,广东省广州市花都区花城街道广州市花都区曙光路与光凤路交叉口人行盲道,反映的事项已依法处理。关于市民反映花都区花城街道曙光路与光凤路交叉口人行盲道，乱涂写未及时清理的问题。经确认，情况属实，现已安排人员到达现场，清理干净,已解决,公共设施问题
GZ_051,广州,http://www.gz.gov.cn/,2026-03-03,反映线路线缆问题,人行道电线坠地,广东省广州市金湖消防救援站外路边的人行道,反映事项已作安全隐患排除措施，已对掉落线缆进行处理，消除安全隐患。,已解决,公共设施问题
GZ_052,广州,http://www.gz.gov.cn/,2026-03-04,反映物业管理问题,窗外绿化带隐藏垃圾，塑料容器积水,广东省广州市丰乐南路88号大院16号一层消防通道,保洁人员已对垃圾及积水进行清理，现已清理完毕,已解决,环境卫生问题
GZ_053,广州,http://www.gz.gov.cn/,2026-03-05,反映其他事项,污水井垃圾污水倒流,广东省广州市花都区狮岭镇永顺路3号,映的事项已核实，已依法处理。我镇已派员到现场核查，经了解，该位置污水管网存在垃圾堵塞，已安排排水公司进行了清疏，现管网已恢复正常流水。,已解决,环境卫生问题
GZ_054,广州,http://www.gz.gov.cn/,2026-03-10,反映车辆乱停放问题,公路与市政道路乱停放车辆,广东省广州市荔湾区西村街道(增埗大街与富力桃园大桥交叉口),已向辖区中队反映情况，通知辖区中队民警对荔湾区西村街道增埗大街与富力桃园大桥交叉口路段加强巡逻管理整治，依法处理乱停放车辆,已解决,停车摆放问题
GZ_055,广州,http://www.gz.gov.cn/,2026-03-10,反映施工问题,停车场外围（红色钢架旁）铺设水泥没有立指示牌,广东省广州市荔湾区东漖街道龙溪大道辅路(广钢铁路小镇停车场南入口),荔湾东漖街道执法队于2026年3月11日，针对您反映的问题，进行了核查处理：经我队现场核查该情况为铁路小镇使用水泥对内部区域路面进行修复，我队已督促其加强管理合理设置指示牌,已解决,公共设施问题
GZ_056,广州,http://www.gz.gov.cn/,2026-03-10,反映噪声、气味、污水等环境问题,公园外播音乐，一直有人在唱歌扰民,广东省广州市天河区元岗街道上元岗元岗街4号(元岗公园),反映的投诉事项已收悉，经核实，反映的情况属实。社区居委会工作人员到小公园现场跟相关人员进行沟通，要求相关人员减小噪音扰民行为,已解决,噪声扰民问题
GZ_057,广州,http://www.gz.gov.cn/,2026-03-11,反映噪声、气味、污水等环境问题,某住户夜深持续1小时钢琴演奏，13栋5楼清楚听到，不知道具体哪栋哪户,广东省广州市荔湾区彩虹街道荔湾路121号(荔湾路121号大院),有反映其7栋202房有人弹钢琴，民警已对202房租户进行教育提醒，民警已责成202房租户把钢琴声音调小控制好音量和关好门窗并告知其安装隔音设备等措施，同时民警已要求202房屋主多加提醒租户不要在晚上10点后弹钢琴，避免影响附近居民日常作息，彩虹派出所将继续加强辖内巡控和噪音管制,已解决,噪声扰民问题
GZ_058,广州,http://www.gz.gov.cn/,2026-03-11,反映乱摆卖、垃圾清理等街面问题,市民反映路边摊乱摆卖,广东省广州市白云区白云湖街道南悦东一街南悦花苑东一街(南悦花苑东一街11号楼),白云湖街接到举报后，我街执法队已安排执法人员对南悦花苑进行守点整治工作，3月11日晚整治该址及周边游商14宗，均已对其驱离并值守巡查,已解决,公共设施问题
GZ_059,广州,http://www.gz.gov.cn/,2026-03-12,反映道路保洁问题,没有洒水车行洒水，这段路没有洒水车洒水，太大尘。麻烦看看怎么处理一下。,广东省广州市广州市番禺区石基镇金龙路47号,我街已安排车辆前往该路段进行洒水。感谢市民对我们工作的支持及理解！,已解决,公共设施问题
GZ_060,广州,http://www.gz.gov.cn/,2026-03-13,反映公共设施问题,广州市黄埔区文冲街道文涌绿道（黄埔东路—文涌水闸段）左侧有多盏路灯不亮。,,反馈的“黄埔区文冲街道文涌(黄埔东路-文涌水闸)，左侧有多盏路灯（左016、左019、左022、左024、左027、左033、左035）不亮，影响夜间出行，建议尽快安排人员进行修复，恢复夜间照明”的问题，我单位已安排工作人员对路段的（左016、左019、左022、左024、左027、左033、左035）路灯进行修复并恢复亮灯，后续将加强对该河段进行巡查,已解决,公共设施问题
GZ_061,广州,http://www.gz.gov.cn/,2026-03-13,反映车辆乱停放问题,市民反映，该处停车乱摆放,广东省广州市越秀区大塘街道(陵园西路)靠近烈士陵园侧门和口腔门诊这一侧,接投诉后，我队当即约谈相关共享单车负责人，对当事人进行相关的法律法规教育，并责令当事人立即改正，现已整改完毕，今后执法部门将加强对此处的监管,已解决,停车摆放问题
GZ_062,广州,http://www.gz.gov.cn/,2026-03-14,反映乱摆卖、垃圾清理等街面问题,亚运林-水杉林往钟四山塘会经过一个树屋，那里好多人在用树枝建树屋，旁边垃圾乱扔，特别是丢弃很多扎带，环境很差,广东省广州市番禺区钟村街道钟韵路与骏新路交叉口正南方向280米左右,根据市民反映的情况，我分局处理如下：1.大夫山森林公园管理中心于3月16日下午对游客捆绑在树上的干枝进行清理，并计划增设垃圾桶和温馨提示牌。2.大夫山森林公园管理中心将举一反三，对园区进行全面排查，如发现类似情况，将及时处理。,已解决,环境卫生问题
GZ_063,广州,http://www.gz.gov.cn/,2026-03-14,反映公园管理问题,市民反映，绿化绿地遭受破损,广东省广州市天河区猎德街道海文路临江大道公园,该事项由广州市林业和园林局牵头，我街工作人员配合市林业园林局的工作人员对临江大道绿地草坪搭设帐篷人员进行拆除。,已解决,环境卫生问题
GZ_064,广州,http://www.gz.gov.cn/,2026-03-15,反映施工问题,市民反映，该地存在无证施工情况,广东省广州市越秀区华乐街道越秀区华侨新村团结路56号一楼空地,接到投诉后执法人员赶到现场检查，已责令当事人拆除铁围栏，后续执法人员将继续跟进。,已解决,公共设施问题
GZ_065,广州,http://www.gz.gov.cn/,2026-03-16,反映乱摆卖、垃圾清理等街面问题,莲藕汤店外垃圾乱摆放,广东省广州市天河区黄村街道天河区黄村东路与庙元东大街交叉口北60米,黄村街日常已安排人员对周边区域实行常态化管控；重点时段为每周一至周五 19:00-22:00 晚高峰，加强对占道乱摆卖的整治及劝阻；其余时间在该区域附近开展市容秩序动态巡查。2026 年 3 月 16日晚，黄村街已派遣市容组工作人员到场处置，对周边商家进行整治及收回店内,已解决,环境卫生问题
GZ_066,广州,http://www.gz.gov.cn/,2026-03-17,反映车辆乱停放问题,市民反映车辆乱停放问题,广东省广州市荔湾区中南街道中南街道连生街29号(乐嘉超市(连生街店)),经市公安局荔湾分局中南派出所核查，民警已到场对乱停放的车辆进行违停执法、劝离，对车主进行宣传教育，要求其不得违反交通秩序,已解决,停车摆放问题
GZ_067,广州,http://www.gz.gov.cn/,2026-03-18,反映路桥坑洼、破损问题,市民反映该地路桥坑洼、破损问题,广东省广州市花都区新华街道新华街道建设路71号101铺(琳琅浩俊蛋糕店(宝华店)),经现场核实，情况属实。我中心已安排工作人员对该位置人行道破损进行处理，现已处理完毕。,已解决,公共设施问题
GZ_068,广州,http://www.gz.gov.cn/,2026-03-20,反映乱停乱放问题,市民反映机动车乱停乱放问题,员村山顶东往西路段,天河大队安排辖区中队加强该路段的巡逻管理整治，查处违法车辆，管控道路通行秩序，并加强对车辆违法行为的执法。,已解决,停车摆放问题
GZ_069,广州,http://www.gz.gov.cn/,2026-03-20,反映公共设施问题,市民反映，井盖松动异响,广东省广州市天河区长兴街道天河区岑村南街南胜里七号,我司人员于3月20日17时18分到场核实，发现该址位置有2个排水设施井盖松动异响问题，现已将松动异响排水设施井盖修复，排水设施井盖松动异响问题已解决,已解决,公共设施问题
GZ_070,广州,http://www.gz.gov.cn/,2026-03-21,反映乱堆物堆料问题,施工垃圾堆放在门口，影响出入，垃圾车堵住门口，人都走不了,广东省广州市越秀区珠光街道越秀区清水濠28.32号,反映情况收悉，珠光街执法队已派执法人员到现场核查处理，经查该址为清水濠28、32号扩建电梯间及连廊工程，执法队员已要求工作人员及时清理施工过程中产生的建筑垃圾，做到文明施工，避免堵塞通道，影响居民正常生活。,已解决,环境卫生问题
GZ_071,广州,http://www.gz.gov.cn/,2026-03-21,反映居民楼窗台垃圾问题,市民反映，楼上居民垃圾放置在窗户上,广东省广州市南沙区南沙街道南沙大涌金涌街149号大涌地铁D出口(南沙大涌金涌街弘业烟酒商行),经大涌村委反馈已第一时间安排人员前往现场核实，已协调该区域上层屋主尽快整改，后续将加强该区域的巡查频次及对该栋房屋垃圾分类宣传,已解决,环境卫生问题
GZ_072,广州,http://www.gz.gov.cn/,2025-12-03,反映噪声、气味、污水等环境问题,行政楼经常夜晚施工，搬运大件，使用电锯钉枪，产生巨大噪音。多次投诉无效,广东省广州市番禺区长隆旅游度假区行政楼,市民反映的单位实际为广州长隆集团有限公司香江野生动物世界分公司，于广州市番禺区大石街礼村村建成一个娱乐服务项目。该单位发电机房在升级改造过程中产生噪声污染物，未配备隔音降噪设施,已解决,噪声扰民问题
GZ_073,广州,http://www.gz.gov.cn/,2025-12-03,反映路桥坑洼、破损问题,人和镇矮岗泰安西十六巷口的路烂了，存在隐患，希望能尽快处理。,广东省广州市人和镇矮岗泰安西十六巷口,根据市民反映的路桥坑洼、破损问题事项。接报后，我镇已迅速安排工作人员跟进。经核实，上址确实存在路面破损的情况。我镇已安排工作人员对路面进行修复，现修复工作已完成,已解决,公共设施问题
GZ_074,广州,http://www.gz.gov.cn/,2025-12-03,反映噪声、气味、污水等环境问题,某处居民楼墙体裂缝不断渗出污水伴随恶臭,广东省广州市越秀区珠光街道珠光路东石新街安和里九号,经了解，上址属在册公房，关于安和里九号对面楼污水问题，所属物业管理公司已派员对上址漏水位置进行修复，目前已无污水流出。,已解决,公共设施问题
