workorder_id,department_name
GZ_086,广东省广州市越秀区白云街道合群一马路与合群西路交叉口正西方向69米左右(合群一马路89-95号大院)
GZ_087,广东省广州市增城区新塘镇石下新沙大道北66号
GZ_088,广东省广州市增城区中新镇福中路34号恒大山水郡小区
GZ_089,广东省广州市白云区石井街道潭村公园(宝岗楼东南)附近(潭村公园-东门)
GZ_090,广东省广州市番禺区洛浦街道东乡一街三巷与东乡一街四巷交叉口东南方向34米左右(东乡村一街二巷1号楼)
GZ_091,:广东省广州市白云区同和街道白云区北太路373
GZ_092,事发地址:广东省广州市荔湾区金花街道金花街道西华路162号(珍珍小食店对面-隔壁有停车场)(老濠江潮菜馆·22年老字号(
GZ_093,广东省广州市从化区温泉镇风景区温泉东路碧泉酒店附近
GZ_094,广东省广州市天河区车陂街道404路夜64路(东圃二马路[公交站])
GZ_095,广东省广州市天河区猎德街道海风路广粤尊府(凯旋新世界·广粤尊府-T16栋)
GZ_096,广东省广州市增城区新塘镇新塘大道新塘公园
GZ_097,广东省广州市广州市增城区石滩镇上灯街美宜佳
GZ_098,广东省广州市天河区天园街道黄埔大道中299号(东方国际商业广场)
GZ_099,广州市从化区珠光御景山水城背后河边绿道
GZ_100,广东省广州市广州白云区石门街红星村红星街九巷8号一楼
